metric,N,median_mini,mean_mini,median_nnunet,mean_nnunet,delta_mean,ci_lo,ci_hi,p_raw,cohens_d,wilcoxon_r,p_bonferroni,p_bh_fdr
Dice_GTVp,98,0.5924769390160487,0.48002845808521405,0.7990474005085983,0.723880262773551,-0.24385180468833675,-0.30018942853242586,-0.19071744947280475,6.075517469917987e-13,-0.881,0.727,2.430206987967195e-12,2.430206987967195e-12
Dice_GTVn,93,0.5976054140564262,0.4772585564738056,0.7742503787824865,0.723218890679479,-0.24596033420567326,-0.30595244172556335,-0.18610394616122636,3.806651852171032e-11,-0.817,0.686,1.5226607408684128e-10,7.613303704342064e-11
HD95_GTVp,74,5.408326913195984,8.048519170974773,3.1770509831248424,12.263782293533886,-4.215263122559113,-18.929746122063523,3.8388339748826477,1.5577294649350437e-05,-0.072,0.502,6.230917859740175e-05,2.0769726199133915e-05
HD95_GTVn,80,15.977436791420386,27.01793499622413,11.416857826771007,45.34381723352218,-18.325882237298043,-40.84042084790489,-0.4978804202179047,0.5220386105191077,-0.198,0.072,1.0,0.5220386105191077
